#Age	d18O
#(yr BP)	(‰)
3248.6	-44.6
3256.7	-44.38
3265.0	-44.55
3273.2	-45.67
3281.4	-44.2
3289.5	-45.59
3297.6	-44.31
3305.6	-44.56
3313.7	-44.83
3321.7	-44.66
3329.4	-44.31
3336.8	-43.9
3344.2	-43.79
3351.7	-44.15
3359.3	-43.76
3366.9	-44.59
3374.5	-44.72
3382.2	-44.23
3389.9	-44.32
3397.5	-43.61
3404.8	-43.92
3412.2	-44.46
3419.4	-43.23
3426.3	-43.38
3433.2	-43.58
3440.6	-44.31
3448.6	-44.54
3456.6	-45.28
3464.8	-45.11
3473.3	-45.53
3481.8	-45.29
3490.2	-44.77
3498.6	-47.03
3507.1	-43.81
3515.2	-44.94
3522.9	-43.32
3530.7	-44.62
3538.6	-43.6
3546.5	-45.33
3554.5	-44.67
3562.4	-44.7
3569.9	-44.52
3577.6	-45.07
3586.1	-45.15
3594.7	-44.65
3603.3	-45.05
3611.2	-44.89
3618.8	-43.79
3626.5	-44.21
3634.0	-44.17
3641.6	-43.98
3649.4	-43.95
3657.6	-44.5
3666.2	-44.74
3674.6	-45.42
3682.6	-44.81
3690.2	-44.91
3697.7	-42.08
3705.4	-44.3
3713.2	-44.38
3721.0	-43.67
3728.9	-45.01
3736.9	-44.64
3744.9	-43.57
3752.9	-43.43
3760.9	-44.17
3768.9	-45.44
3776.7	-44.27
3784.5	-44.53
3792.2	-43.28
3800.2	-43.75
3808.4	-44.66
3816.6	-45.32
3825.3	-43.9
3833.3	-44.3
3841.0	-45.31
3848.6	-45.2
3856.3	-44.85
3864.0	-43.6
3871.5	-44.38
3879.9	-43.57
3888.5	-44.63
3896.8	-44.27
3904.8	-42.86
3912.7	-43.18
3921.0	-43.55
3929.3	-44.42
3937.3	-44.49
3945.4	-43.91
3953.5	-44.63
3961.6	-44.05
3970.0	-44.07
3978.7	-45.38
3987.4	-45.12
3995.8	-44.86
4004.2	-44.57
4012.5	-45.19
4020.6	-44.8
4028.5	-43.79
4036.3	-44.08
4044.3	-44.82
4052.4	-44.43
4060.5	-44.45
4068.7	-45.05
4076.9	-44.46
4085.1	-44.38
4093.0	-43.18
4100.6	-44.12
4108.2	-44.45
4115.8	-44.06
4123.3	-43.35
4130.8	-43.94
4138.6	-44.65
4146.8	-44.38
4154.9	-44.58
4163.2	-44.87
4171.5	-43.65
4179.8	-45.71
4188.1	-44.68
4196.2	-43.9
4204.3	-44.86
4212.1	-43.52
4219.5	-43.97
4227.1	-43.34
4235.1	-45.2
4243.4	-44.03
4251.7	-43.8
4259.7	-43.85
4267.1	-43.98
4274.3	-43.29
4281.9	-44.59
4289.8	-45.55
4297.7	-43.68
4305.6	-44.7
4314.0	-45.65
4322.4	-43.63
4330.5	-44.09
4338.3	-44.19
4346.1	-43.48
4354.1	-44.31
4361.9	-44.28
4369.7	-46.28
4377.9	-44.19
4386.2	-43.15
4394.4	-44.9
4403.2	-45.1
4411.5	-45.24
4419.4	-45.44
4427.3	-44.47
4434.9	-44.78
4442.5	-44.28
4450.6	-44.94
4458.9	-44.18
4467.2	-44.23
4475.4	-44.29
4483.5	-44.65
4491.6	-43.82
4500.0	-44.69
4508.6	-44.32
4517.2	-45.28
4525.6	-45.34
4534.0	-44.75
4542.4	-42.82
4550.6	-44.05
4558.6	-44.2
4566.7	-43.37
4574.9	-43.48
4583.3	-44.95
4591.6	-44.29
4600.2	-45.08
4608.8	-44.18
4617.5	-44.42
4626.4	-45.4
4635.2	-44.58
4643.4	-44.78
4651.6	-44.5
4659.8	-45.26
4668.1	-44.91
4676.6	-44.81
4684.7	-43.88
4692.9	-44.1
4701.2	-43.39
