#Age	d18O
#(yr BP)	(‰)
8474.5	-36.82
8499.0	-36.80
8523.3	-36.56
8547.4	-37.03
8572.1	-38.28
8597.8	-37.04
8623.1	-36.04
8647.5	-36.71
8671.7	-37.63
8696.1	-37.00
8720.5	-37.19
8744.9	-37.20
8769.3	-36.17
8793.4	-36.51
8817.1	-37.43
8840.9	-36.21
8864.5	-37.01
8887.6	-37.58
8910.8	-36.15
8935.3	-36.25
8960.0	-36.85
8983.7	-36.46
9007.6	-37.39
9031.6	-36.98
9055.5	-36.90
9079.4	-36.24
9102.6	-36.81
9124.9	-36.35
9147.3	-36.38
9170.0	-36.75
9192.5	-36.32
9214.7	-37.51
9236.4	-35.53
9258.1	-35.38
9280.5	-36.15
9303.3	-36.86
9325.9	-36.21
9349.2	-37.50
9373.2	-36.54
9397.5	-37.64
9421.5	-35.61
9444.4	-36.63
9466.6	-36.59
9489.5	-36.48
9512.4	-37.42
9535.4	-35.99
9559.0	-36.78
9582.5	-37.02
9605.5	-36.06
9629.3	-36.94
9653.7	-36.13
9678.1	-36.52
9702.2	-37.42
9726.2	-36.50
9749.2	-37.34
9772.1	-37.27
9795.7	-36.68
9818.6	-35.73
9841.3	-36.82
9864.4	-36.84
9881.8	-36.64
9893.4	-36.20
9905.0	-36.54
9916.7	-38.02
9928.3	-35.54
9939.9	-35.69
9951.5	-35.80
9963.1	-37.19
9974.8	-35.99
9986.4	-36.60
9998.2	-37.80
10010.2	-37.06
10022.2	-36.80
10034.2	-37.08
10046.1	-35.45
10058.1	-36.33
10070.2	-37.18
10082.3	-37.06
10094.2	-36.25
10105.7	-37.09
10117.0	-38.18
10128.1	-36.90
10139.2	-36.48
10150.3	-36.46
10161.3	-36.35
10172.3	-36.07
10183.3	-36.01
10194.4	-37.80
10205.5	-36.45
10216.6	-37.77
10227.5	-36.43
10238.3	-36.41
10248.7	-36.18
10258.8	-37.31
10269.1	-36.69
10279.7	-36.44
10290.5	-36.92
10301.7	-36.13
10312.5	-38.14
10323.2	-36.46
10333.9	-35.47
10344.8	-36.59
10356.2	-36.49
10368.2	-36.64
10380.4	-37.98
10392.8	-36.38
10404.7	-37.52
10416.1	-36.65
10427.7	-36.28
10439.5	-36.94
10451.3	-36.74
10463.3	-36.96
10475.1	-37.32
10486.6	-36.06
10498.3	-35.90
10510.2	-36.33
10522.2	-37.17
10534.3	-35.98
10546.3	-35.39
10558.3	-37.73
10570.3	-35.69
10582.1	-34.89
10593.4	-36.72
10604.2	-36.50
10615.1	-36.49
10625.9	-36.78
10636.9	-37.58
10648.0	-37.31
10659.7	-38.25
10671.8	-37.36
10683.7	-38.54
10695.4	-36.67
10707.0	-35.55
10718.6	-37.05
10729.9	-36.08
10741.0	-36.96
10752.1	-36.12
10763.2	-36.31
10774.3	-36.64
10785.3	-37.53
10796.3	-36.67
10807.4	-36.64
10818.5	-35.89
10829.6	-36.91
10840.8	-35.66
10852.0	-37.55
10863.3	-37.54
10874.5	-36.30
10886.0	-38.77
10897.7	-37.03
10909.5	-36.99
10921.4	-35.96
10933.3	-36.47
10945.2	-35.58
10957.0	-36.10
10968.6	-36.13
10980.2	-37.76
10991.6	-36.33
11002.9	-35.89
11014.1	-35.45
11025.5	-36.95
11036.9	-37.25
11048.6	-36.32
11060.5	-36.86
11072.4	-38.15
11084.3	-36.82
11095.9	-37.13
11107.2	-36.85
11118.4	-36.56
11129.5	-36.23
11140.2	-36.56
11150.5	-35.59
11161.5	-37.72
11173.2	-36.99
11184.5	-37.19
11195.5	-36.94
11206.9	-37.11
11218.8	-37.69
11230.7	-37.92
11242.5	-36.84
11254.3	-36.34
11266.1	-36.58
11277.5	-36.19
11288.5	-36.57
11299.5	-37.44
11310.4	-36.73
11321.3	-35.75
11332.2	-35.49
11342.8	-37.41
11353.2	-36.38
11363.5	-36.86
11373.6	-36.20
11383.9	-36.52
11394.6	-35.99
11405.3	-35.88
11416.1	-36.33
11426.9	-37.15
11437.8	-36.64
11448.8	-35.95
11459.9	-36.06
11470.9	-37.50
11481.9	-36.05
11492.8	-36.57
11503.8	-35.72
11514.7	-36.48
11525.7	-36.60
11536.8	-34.21
11547.8	-35.99
11558.9	-37.88
11570.1	-37.06
11581.3	-36.75
11592.6	-35.91
11603.9	-36.20
11615.2	-36.64
11626.5	-36.34
11637.9	-37.40
11649.4	-36.72
11661.0	-35.88
11672.6	-37.81
11684.2	-37.44
11695.8	-36.39
11707.4	-35.88
11719.0	-35.93
11730.4	-36.00
11741.8	-37.32
11753.3	-36.37
11764.8	-36.25
11776.5	-36.83
11788.6	-37.21
11801.1	-36.22
11813.6	-36.84
11826.2	-38.27
11838.8	-37.49
11851.5	-36.45
11864.6	-38.12
11877.9	-37.61
11891.3	-37.13
11904.7	-37.11
11918.0	-37.48
11931.4	-36.97
11944.3	-36.43
11957.0	-36.92
11969.7	-35.14
11982.5	-37.38
11995.3	-36.62
12008.3	-38.31
12021.6	-37.31
12035.4	-37.93
12049.1	-38.18
12062.7	-36.63
12076.2	-36.31
12089.6	-36.78
12102.9	-37.55
12116.1	-37.25
12129.4	-38.00
12142.6	-36.61
12156.0	-37.78
12169.5	-37.98
12183.4	-38.80
12197.6	-36.78
12211.9	-38.56
12226.2	-37.56
12240.9	-38.05
12256.2	-38.70
12271.5	-38.94
12286.7	-37.83
12301.8	-37.43
12316.6	-38.33
12331.3	-37.81
12345.7	-38.22
12360.3	-36.85
12375.0	-37.41
12390.3	-38.65
12406.1	-38.30
12422.1	-38.49
12438.2	-38.58
12454.4	-38.67
12470.8	-37.94
12487.4	-37.92
12504.1	-38.57
12520.9	-38.18
12537.6	-38.68
12554.5	-39.44
12571.4	-38.23
12588.4	-37.96
12605.4	-38.52
12622.6	-38.37
12640.0	-38.76
12657.5	-38.52
12675.0	-39.57
12693.3	-39.77
12712.5	-38.24
12731.7	-37.53
12750.9	-38.91
12770.3	-38.36
12789.7	-38.40
12809.5	-38.44
12819.6	-38.85
12848.2	-38.91
12856.5	-39.30
12919.7	-38.29
12944.1	-37.73
12961.8	-39.47
12979.4	-38.54
12996.6	-38.53
13013.8	-37.43
13030.9	-38.74
13048.7	-38.55
13067.3	-39.18
13085.4	-37.73
13103.1	-38.50
13120.9	-37.50
13138.7	-38.76
13156.7	-39.52
13174.8	-39.08
13192.8	-37.86
13210.7	-38.23
13228.6	-39.28
13246.5	-38.64
13264.5	-39.39
13282.5	-37.75
13300.6	-38.54
13318.8	-39.54
13337.0	-39.60
13355.3	-37.75
13373.5	-37.83
13391.5	-38.11
13409.1	-38.98
13426.3	-38.68
13443.8	-37.48
13461.4	-38.95
13478.9	-38.31
13496.3	-38.91
13513.9	-38.80
13531.7	-39.60
13549.0	-38.42
13565.9	-38.25
13583.0	-39.17
13600.2	-37.58
13618.6	-38.55
13638.1	-37.74
13657.6	-38.39
13677.0	-37.88
13695.7	-38.83
13713.5	-39.02
13730.8	-38.20
13747.4	-38.38
13764.6	-38.23
13782.4	-38.89
13801.2	-38.41
13820.9	-38.93
13839.9	-38.17
13858.2	-38.49
13876.2	-37.88
13894.0	-38.36
13911.7	-38.02
13929.3	-38.86
13955.4	-37.93
13981.5	-37.68
13999.1	-38.66
14017.1	-37.94
14026.2	-38.57
14063.2	-38.75
14100.1	-38.23
14136.7	-38.30
14172.5	-38.10
14181.2	-37.94
14198.7	-37.58
14216.2	-37.95
14233.6	-37.43
14251.0	-37.14
14268.4	-36.96
14285.8	-36.79
14303.5	-37.73
14321.6	-37.33
14339.8	-36.95
14358.2	-37.75
14376.1	-37.14
14393.6	-38.31
14410.9	-37.57
14428.2	-37.39
14445.2	-37.57
14461.9	-37.70
14479.1	-36.51
14496.8	-36.45
14514.7	-37.84
14532.8	-37.41
14551.0	-37.07
14569.2	-37.65
14587.0	-37.28
14604.3	-37.57
14621.8	-37.35
14639.3	-38.05
14657.1	-37.48
14675.0	-37.62
14693.4	-37.18
14712.2	-38.07
14731.2	-38.37
14750.2	-39.05
14769.7	-38.78
14789.8	-38.69
14809.8	-38.20
14829.9	-37.48
14849.9	-38.92
14869.8	-36.82
14890.1	-38.48
14910.7	-38.86
14930.6	-38.06
14949.5	-37.62
14969.3	-38.43
14990.0	-39.00
15009.7	-38.45
15028.4	-37.84
15048.2	-38.98
15069.2	-38.50
15090.6	-38.40
15112.6	-38.06
15134.0	-37.94
15154.9	-38.39
15175.8	-38.26
15196.6	-37.81
15218.1	-38.00
15240.0	-38.44
15262.0	-38.77
15284.0	-38.61
15306.4	-38.31
15329.3	-39.25
15352.8	-39.19
15377.0	-39.66
